industry_id,industry_descr,term,estimate,std.error,conf.low,conf.high,p.value
1,Wheat,igad_to_af,-0.26418568782484103,0.04232097681930853,-0.34713327818124023,-0.18123809746844183,4.3082769601017883e-10
1,Wheat,af_to_igad,-0.2880239680333041,0.04028735545216847,-0.3669857337519177,-0.20906220231469053,8.725973322454684e-13
2,Rice (raw),igad_to_af,-0.1772585246650073,0.04494840555823522,-0.2653557807216483,-0.0891612686083663,8.026755409587806e-5
2,Rice (raw),af_to_igad,-0.238229728079179,0.04504088519796979,-0.326508240899003,-0.149951215259355,1.2286028348267788e-7
3,Corn,igad_to_af,-0.3443524803585223,0.034574405575581293,-0.4121170700735424,-0.27658789064350214,2.2863396584041245e-23
3,Corn,af_to_igad,-0.15783196162634064,0.03294329694133864,-0.22239963716337288,-0.0932642860893084,1.659364090452315e-6
4,Other cereals,igad_to_af,-0.2542874848971876,0.04033636313514907,-0.3333453039094089,-0.1752296658849663,2.8973332061283753e-10
4,Other cereals,af_to_igad,-0.3058332000068465,0.03272837334895614,-0.36997963304338105,-0.24168676697031194,9.22469768635351e-21
5,Cereal products,igad_to_af,-0.1456605457596901,0.03974409447725677,-0.22355753953327062,-0.06776355198610957,2.4737653123068075e-4
5,Cereal products,af_to_igad,-0.01814610384879134,0.05613061206207174,-0.12816008192064146,0.09186787422305878,0.7464805066204485
6,Soybeans,igad_to_af,-0.34209942193913134,0.08684163414037199,-0.5123058972128643,-0.1718929466653983,8.170333001186541e-5
6,Soybeans,af_to_igad,-0.27571733261030246,0.047878204934798385,-0.36955688992693514,-0.18187777529366977,8.475251493639063e-9
7,Other oilseeds (excluding peanuts),igad_to_af,-0.30324093398002305,0.036231145158247866,-0.37425267360883163,-0.2322291943512145,5.780410820053604e-17
7,Other oilseeds (excluding peanuts),af_to_igad,-0.286509420007239,0.04595703156257038,-0.37658354670624744,-0.19643529330823056,4.538343420632153e-10
8,Animal feed ingredients and pet foods,igad_to_af,-0.2382255258611033,0.06757365698375346,-0.37066745985292354,-0.10578359186928304,4.2281176483438337e-4
8,Animal feed ingredients and pet foods,af_to_igad,-0.10479494478991824,0.0484884271034977,-0.19983051557976952,-0.009759374000066962,0.030677097056656805
9,Raw and refined sugar and sugar crops,igad_to_af,-1.0669632691297246,0.15334447123795777,-1.3675129099844598,-0.7664136282749893,3.4525801183662186e-12
9,Raw and refined sugar and sugar crops,af_to_igad,-1.5446334711662844,0.1828511395497462,-1.9030151192158944,-1.1862518231166743,2.9762819028397617e-17
10,Other sweeteners,igad_to_af,-0.5867228994798313,0.06406651598323689,-0.7122909634219352,-0.4611548355377273,5.2854668191603885e-20
10,Other sweeteners,af_to_igad,-0.3196884308658233,0.05100861435851552,-0.4196634779098064,-0.21971338382184025,3.672629681843543e-10
11,"Pulses and legumes, dried, preserved",igad_to_af,-0.2533926779910076,0.03747583284638102,-0.3268439606605576,-0.17994139532145764,1.3657448841084963e-11
11,"Pulses and legumes, dried, preserved",af_to_igad,-0.30851388415520853,0.028910147531236954,-0.3651767321041725,-0.25185103620624455,1.3841320784492572e-26
12,Fresh fruit,igad_to_af,-0.4572599033111826,0.043682156437514254,-0.542875356695755,-0.3716444499266102,1.2132003573181031e-25
12,Fresh fruit,af_to_igad,-0.306352966386993,0.034045630987601834,-0.3730811769536334,-0.2396247558203526,2.2922955526788323e-19
13,Fresh vegetables,igad_to_af,-0.5545579208758092,0.06699048382792039,-0.6858568564854461,-0.42325898526617234,1.2509343484911485e-16
13,Fresh vegetables,af_to_igad,-0.34409924425599153,0.06163237423290003,-0.46489647803417,-0.22330201047781306,2.3627903920981392e-8
14,Prepared fruits and fruit juices,igad_to_af,0.007558151372801491,0.03193085613855913,-0.0550251766543041,0.07014147939990709,0.8128866745313154
14,Prepared fruits and fruit juices,af_to_igad,-0.009035702057638387,0.03838582855994428,-0.08427054355185817,0.0661991394365814,0.8139047959523813
15,Prepared vegetables,igad_to_af,0.18896002822117053,0.6237874542651238,-1.033640916146398,1.411560972588739,0.7619479794247936
15,Prepared vegetables,af_to_igad,0.2827390678356494,0.7286591469642703,-1.1454066172199981,1.710884752891297,0.6979964133935426
16,Nuts,igad_to_af,-0.48431075369528664,0.060263743647834433,-0.6024255208185966,-0.3661959865719767,9.24262120389516e-16
16,Nuts,af_to_igad,-0.24364631423418456,0.04782353630461536,-0.3373787230045744,-0.14991390546379474,3.4930379738777443e-7
17,Live Cattle,igad_to_af,1.368896484375,36370.560897562995,-71283.62056025986,71286.35835322861,0.9999699696308496
17,Live Cattle,af_to_igad,-0.60223388671875,23906.44810314765,-46856.379514331995,46855.17504655856,0.9999799002713377
18,Live Swine,igad_to_af,-2.2831419911411075,1.7669723441515508,-5.74634414735646,1.180060165074245,0.19631526036052868
18,Live Swine,af_to_igad,-1.63021463691274,2.285169476327487,-6.109064509084869,2.8486352352593896,0.4756051133337375
19,Eggs,igad_to_af,-0.38949528083343393,0.045718444605701604,-0.47910178568979855,-0.2998887759770693,1.603346618699712e-17
19,Eggs,af_to_igad,-0.47423964179952627,0.05118224646694222,-0.5745550015225854,-0.3739242820764671,1.9379121075516316e-20
20,"Other meats, livestock products, and live animals",igad_to_af,-0.2550029817942117,0.06283623076428262,-0.3781597310164534,-0.13184623257197006,4.94490725500615e-5
20,"Other meats, livestock products, and live animals",af_to_igad,-0.10949502771195094,0.0387763807203624,-0.18549533737467455,-0.03349471804922734,0.004746454206711273
21,Cocoa and cocoa products,igad_to_af,1.6631694972747937,0.3265527558088342,1.0231378568371758,2.3032011377124118,3.5223496693280465e-7
